row_index,profile,run_role,material,source_id,thickness_mm,random_seed,returncode,elapsed_seconds,config_path,output_prefix
101,full,material,Albite,mono_60kev,10.0,303,0,2.966,source_models/config/material_sorting_matrix/full/ms_full_albite_mono_60kev_10mm_seed303.txt,ms_full_albite_mono_60kev_10mm_seed303
102,full,material,Albite,mono_100kev,10.0,101,0,4.944,source_models/config/material_sorting_matrix/full/ms_full_albite_mono_100kev_10mm_seed101.txt,ms_full_albite_mono_100kev_10mm_seed101
103,full,material,Albite,mono_100kev,10.0,202,0,7.262,source_models/config/material_sorting_matrix/full/ms_full_albite_mono_100kev_10mm_seed202.txt,ms_full_albite_mono_100kev_10mm_seed202
104,full,material,Albite,mono_100kev,10.0,303,0,7.143,source_models/config/material_sorting_matrix/full/ms_full_albite_mono_100kev_10mm_seed303.txt,ms_full_albite_mono_100kev_10mm_seed303
105,full,material,Albite,spectrum_120kv,10.0,101,0,5.496,source_models/config/material_sorting_matrix/full/ms_full_albite_spectrum_120kv_10mm_seed101.txt,ms_full_albite_spectrum_120kv_10mm_seed101
106,full,material,Albite,spectrum_120kv,10.0,202,0,5.396,source_models/config/material_sorting_matrix/full/ms_full_albite_spectrum_120kv_10mm_seed202.txt,ms_full_albite_spectrum_120kv_10mm_seed202
107,full,material,Albite,spectrum_120kv,10.0,303,0,6.114,source_models/config/material_sorting_matrix/full/ms_full_albite_spectrum_120kv_10mm_seed303.txt,ms_full_albite_spectrum_120kv_10mm_seed303
108,full,material,Albite,mono_60kev,20.0,101,0,4.939,source_models/config/material_sorting_matrix/full/ms_full_albite_mono_60kev_20mm_seed101.txt,ms_full_albite_mono_60kev_20mm_seed101
109,full,material,Albite,mono_60kev,20.0,202,0,3.611,source_models/config/material_sorting_matrix/full/ms_full_albite_mono_60kev_20mm_seed202.txt,ms_full_albite_mono_60kev_20mm_seed202
110,full,material,Albite,mono_60kev,20.0,303,0,3.658,source_models/config/material_sorting_matrix/full/ms_full_albite_mono_60kev_20mm_seed303.txt,ms_full_albite_mono_60kev_20mm_seed303
111,full,material,Albite,mono_100kev,20.0,101,0,4.236,source_models/config/material_sorting_matrix/full/ms_full_albite_mono_100kev_20mm_seed101.txt,ms_full_albite_mono_100kev_20mm_seed101
112,full,material,Albite,mono_100kev,20.0,202,0,4.249,source_models/config/material_sorting_matrix/full/ms_full_albite_mono_100kev_20mm_seed202.txt,ms_full_albite_mono_100kev_20mm_seed202
113,full,material,Albite,mono_100kev,20.0,303,0,3.384,source_models/config/material_sorting_matrix/full/ms_full_albite_mono_100kev_20mm_seed303.txt,ms_full_albite_mono_100kev_20mm_seed303
114,full,material,Albite,spectrum_120kv,20.0,101,0,2.816,source_models/config/material_sorting_matrix/full/ms_full_albite_spectrum_120kv_20mm_seed101.txt,ms_full_albite_spectrum_120kv_20mm_seed101
115,full,material,Albite,spectrum_120kv,20.0,202,0,2.841,source_models/config/material_sorting_matrix/full/ms_full_albite_spectrum_120kv_20mm_seed202.txt,ms_full_albite_spectrum_120kv_20mm_seed202
116,full,material,Albite,spectrum_120kv,20.0,303,0,3.425,source_models/config/material_sorting_matrix/full/ms_full_albite_spectrum_120kv_20mm_seed303.txt,ms_full_albite_spectrum_120kv_20mm_seed303
117,full,material,Dolomite,mono_60kev,5.0,101,0,6.184,source_models/config/material_sorting_matrix/full/ms_full_dolomite_mono_60kev_5mm_seed101.txt,ms_full_dolomite_mono_60kev_5mm_seed101
118,full,material,Dolomite,mono_60kev,5.0,202,0,6.282,source_models/config/material_sorting_matrix/full/ms_full_dolomite_mono_60kev_5mm_seed202.txt,ms_full_dolomite_mono_60kev_5mm_seed202
119,full,material,Dolomite,mono_60kev,5.0,303,0,6.088,source_models/config/material_sorting_matrix/full/ms_full_dolomite_mono_60kev_5mm_seed303.txt,ms_full_dolomite_mono_60kev_5mm_seed303
120,full,material,Dolomite,mono_100kev,5.0,101,0,8.218,source_models/config/material_sorting_matrix/full/ms_full_dolomite_mono_100kev_5mm_seed101.txt,ms_full_dolomite_mono_100kev_5mm_seed101
121,full,material,Dolomite,mono_100kev,5.0,202,0,5.073,source_models/config/material_sorting_matrix/full/ms_full_dolomite_mono_100kev_5mm_seed202.txt,ms_full_dolomite_mono_100kev_5mm_seed202
122,full,material,Dolomite,mono_100kev,5.0,303,0,3.234,source_models/config/material_sorting_matrix/full/ms_full_dolomite_mono_100kev_5mm_seed303.txt,ms_full_dolomite_mono_100kev_5mm_seed303
